Fri May 1 11:35:40 2020 -0700,Finish up creating your own components docs
Fri May 1 11:35:40 2020 -0700,Update function names in migration clarify tints and shades are Sass variables
Fri May 1 11:35:40 2020 -0700,Remove mentions of Bootstrap 4 in a few places replacing with updated guidance where appropriate
Thu Apr 30 15:17:08 2020 +0200,v5 Unify spacing across components 30564
Sun Apr 26 17:26:04 2020 -0700,Fill in some unusedcss section links
Sun Apr 26 17:26:04 2020 -0700,Update CSS variables docs
Sun Apr 26 17:26:04 2020 -0700,Include code snippet for lean JS section
Sun Apr 26 17:26:04 2020 -0700,Add example of a custom component using docs callouts
Sun Apr 26 17:26:04 2020 -0700,Update shortcode usage
Sun Apr 26 17:26:04 2020 -0700,wordsmithing
Sun Apr 26 17:26:04 2020 -0700,pull in latest from old theming page
Sun Apr 26 17:26:04 2020 -0700,Use scss docs for color maps
Sun Apr 26 17:26:04 2020 -0700,Add more context to customizing components
Sun Apr 26 17:26:04 2020 -0700,Add overview intro to the Customize section
Sun Apr 26 17:26:04 2020 -0700,Rewrite Theming docs as Customize section
Sun Apr 26 17:26:04 2020 -0700,Create a new table shortcode so we can easily add Bootstrap table classes to Markdown tables
Sun Apr 26 17:26:04 2020 -0700,Rename variables for brevity
Sun Apr 26 17:26:04 2020 -0700,Remove existing Theming page as we build out a new Customize section
Wed Apr 15 16:51:30 2020 -0700,Create config yml
Wed Apr 15 07:22:55 2020 +0300,v5 Improve the responsiveness of our Dashboard example 30573
Tue Apr 14 21:03:56 2020 -0700,Slight adjustment to the h3 heading spacing in docs
Tue Apr 14 23:15:50 2020 +0200,v5 Update system font stack 30561
Tue Apr 14 12:30:49 2020 -0700,Update release drafter yml
Tue Apr 14 12:15:46 2020 -0700,Update release drafter yml
Tue Apr 14 11:12:46 2020 -0700,Merge pull request 30460 from twbs release drafter
Tue Apr 14 13:57:11 2020 +0200,Redo display headings 30568
Mon Apr 13 18:23:56 2020 -0700,Merge pull request 30354 from twbs grid xxl and sidebar toc
Mon Apr 13 15:34:08 2020 -0700,Merge branch master into release drafter
Mon Apr 13 14:40:47 2020 -0700,Update docs for new XXL grid tier
Mon Apr 13 13:55:34 2020 -0700,Clarify media query using 02px and bump from callout to warning
Mon Apr 13 13:55:34 2020 -0700,Update file size for the grid build
Mon Apr 13 13:55:34 2020 -0700,Rewrite grid docs to account for new grid tier
Mon Apr 13 13:55:34 2020 -0700,Move table of contents to new sidebar restyle it to be simpler
Mon Apr 13 13:55:34 2020 -0700,Add an xxl grid tier
Wed Apr 8 20:58:23 2020 +0300,Fix spinner grow animation 30504
Mon Mar 30 11:55:44 2020 -0700,Update release notes yml
Mon Mar 30 11:51:45 2020 -0700,Update release notes yml
Mon Mar 30 11:48:28 2020 -0700,Update release notes yml
Mon Mar 30 11:33:34 2020 -0700,Update release notes yml
Mon Mar 30 11:33:21 2020 -0700,Update release drafter yml
Mon Mar 30 10:58:00 2020 -0700,Update release drafter yml
Mon Mar 30 10:46:16 2020 -0700,Testing
Wed Mar 25 16:05:48 2020 -0700,Create release drafter yml
Wed Mar 25 16:04:37 2020 -0700,Create release notes yml
Tue Mar 24 10:00:45 2020 +0100,Add caption top for tables 30435
Fri Mar 20 08:58:54 2020 -0700,Merge pull request 30389 from twbs underline links
Tue Mar 17 12:26:35 2020 -0700,remove dupe text decoration
Tue Mar 17 12:26:35 2020 -0700,supress underline on toc
Tue Mar 17 12:26:35 2020 -0700,Remove links from docs sidebar
Tue Mar 17 12:26:35 2020 -0700,Enable underlines for links
Wed Mar 4 21:32:45 2020 +0900,Embedded examples cleanup 30330
Sat Feb 15 09:40:27 2020 +0200,Docs table of contents list style fix 30176
Tue Feb 4 11:14:55 2020 +0200,Update migration guide for removal of form text 30134
Mon Nov 25 13:05:57 2019 +0200,Some minor text tweaks
Mon Nov 25 13:05:57 2019 +0200,Copywriting edits
Thu Oct 31 08:30:53 2019 +0200,Doc tweaks
Mon Oct 28 08:12:07 2019 +0100,Update form check to properly support gradients when enabled 29338
Sun Oct 27 20:26:52 2019 -0700,v5 Simplify navbars by requiring containers 29339
Fri Oct 18 11:06:12 2019 -0700,v5 Icons docs cleanup 29450
Fri Oct 18 11:04:27 2019 -0700,v5 Update colors to add shades and tints 29348
Fri Oct 18 10:28:16 2019 +0300,Add link to Icons site in our docs 29544
Thu Oct 17 09:46:34 2019 +0300,Add make col auto mixin 29367
Thu Oct 10 21:18:19 2019 +0300,Add new bg body utility class 29511
Wed Oct 2 22:19:45 2019 +0300,v5 form check layout changes 29322
Thu Sep 5 21:43:31 2019 +0300,Update subnav to remove breadcrumb and just keep versions and search 29368
Fri Aug 30 13:07:27 2019 -0700,Cleanup
Fri Aug 30 13:07:27 2019 -0700,Move margins and equal height via utility example
Fri Aug 30 13:07:27 2019 -0700,First pass at row cols classes
Thu Aug 29 14:07:55 2019 -0600,Clean up instances of old form group 29321
Tue Aug 27 11:10:56 2019 +0300,mention new variable in our docs
Sat Aug 24 02:59:57 2019 +0300,Document example of datalists with form controls 29058
Sat Aug 24 02:26:28 2019 +0300,Add support and docs for color input
Thu Aug 8 11:53:30 2019 -0700,Prep for migration to GitHub Actions CI CD
Mon Aug 5 12:12:16 2019 -0700,Responsive containers follow up to 29095 29118
Sat Aug 3 17:27:33 2019 +0300,Mention pagination margin change in migration docs 29196
Sun Jul 28 15:01:15 2019 -0700,Remove Slack badge link for now
Thu Jul 25 10:25:39 2019 +0300,Fix busted hover focus on sidebar
Thu Jul 25 10:25:39 2019 +0300,Restore 7rem so that the sidebar is balanced on top and bottom
Thu Jul 25 10:25:39 2019 +0300,Increase navbar link brightness for slightly better color contrast
Thu Jul 25 10:25:39 2019 +0300,Split up docs _nav scss
Thu Jul 25 10:25:39 2019 +0300,Restore height and overflow on docs sidebar
Wed Jul 24 09:13:50 2019 +0300,Rebuild the dist to pickup new utilities file 29105
Mon Jul 22 10:38:28 2019 -0700,fix broken classes
Mon Jul 22 16:08:58 2019 +0300,Use html like every other example change the layout simplify some things for now
Sun Jul 21 21:44:32 2019 -0700,Move search styles prep for responsive containers in docs
Sun Jul 21 21:44:32 2019 -0700,no need for checks or conditions
Sun Jul 21 21:44:32 2019 -0700,remove subnav from home and examples
Sun Jul 21 21:44:32 2019 -0700,Make subnav and sidebar work on mobile too
Sun Jul 21 21:44:32 2019 -0700,make docs navbar more usable on mobile
Sun Jul 21 21:44:32 2019 -0700,Move subnav to partial take first pass at conditionalizing breadcrumb links
Sun Jul 21 21:44:32 2019 -0700,Add focus to all new hover selectors
Sun Jul 21 21:44:32 2019 -0700,Update remaining tables to Bootstrap tables in docs by adding table class
Sun Jul 21 21:44:32 2019 -0700,Document changes to tables
Sun Jul 21 21:44:32 2019 -0700,Clarify form control visual updates in migration guide
Sun Jul 21 21:44:32 2019 -0700,Update Migration docs to mention new icons
Sun Jul 21 21:44:32 2019 -0700,Revert padding right on ol and ul in Reboot update migration doc
Sun Jul 21 17:38:36 2019 -0700,v4 v5 Add responsive containers 29095
Wed Jul 17 16:56:54 2019 +0300,Use focus within for form file focus state 29036
Wed Jul 17 16:21:47 2019 +0300,Move sidebar icon to CSS
Mon Jul 15 10:29:13 2019 +0300,v5 Reuse box shadow variables 29023
Sun Jul 14 12:00:57 2019 +0300,v5 Fix disabled styling on form file 29022
Sun Jul 14 11:44:49 2019 +0300,Drop breakpoint CSS custom properties 29020
Fri Jul 12 16:56:26 2019 -0500,dist v5
Fri Jul 12 16:52:33 2019 -0500,v5 Forms update 28450
Tue Jul 9 14:30:07 2019 -0500,Fixes 28994
Thu May 9 07:57:58 2019 +0200,v5 Drop all print styles and classes 28339
Wed May 8 21:45:24 2019 +0300,v5 Drop media 28265
Wed May 8 20:58:07 2019 +0300,Drop all hover mixins
Fri May 3 10:54:29 2019 -0700,WIP Bump supported browsers for v5 28317
Fri May 3 10:52:58 2019 -0700,WIP v5 Prep migration docs page 28472
Thu Apr 25 17:01:50 2019 +0300,Prevent form validation mixin from generating invalid CSS 28447
Mon Mar 18 12:26:50 2019 +0200,Update GA to latest script anonymize IPs
Thu Mar 14 19:23:54 2019 +0200,v5 Drop remaining deprecated mixins 28461
Thu Mar 14 19:15:26 2019 +0200,v5 Update badges 28458
Wed Mar 13 19:07:54 2019 -0700,Revert Don t run Google Analytics locally 28384 28489
Tue Mar 12 15:04:08 2019 +0200,v5 Don t automatically adjust all hr elements in alert variants 28462
Tue Mar 12 10:02:17 2019 +0200,v5 Drop deprecated size mixin 28460
Tue Mar 12 09:47:36 2019 +0200,Drop deprecated img retina mixin 28459
Wed Feb 20 22:05:45 2019 +0200,Remove IE specific breadcrumb CSS hack
Mon Feb 11 11:15:34 2019 -0800,Release v4 3 0 28228
Fri Jan 11 21:16:50 2019 +0200,Add form validation states Sass map 27999
Tue Jan 8 21:23:50 2019 +0200,npm run test to build dist files
Mon Jan 7 03:01:36 2019 +0200,Add horizontal list group modifier 27970
Fri Jan 4 08:29:45 2019 -0800,latest changes
Fri Jan 4 11:53:32 2019 +0200,Add note to the summary of important changes
Sun Dec 23 15:00:51 2018 +0200,Add horizontal card example 27906
Sat Dec 22 22:20:26 2018 -0800,move to 4 2
Fri Dec 21 21:10:40 2018 -0800,Add a notes about multiple links targets remove multiple link example
Fri Dec 21 20:59:40 2018 -0800,Add variable for dropdown divider margin y 27857
Fri Dec 21 15:36:09 2018 -0800,Merge branch table dark colors into v4 dev
Fri Dec 21 15:35:55 2018 -0800,Merge branch text break util into v4 dev
Fri Dec 21 15:35:15 2018 -0800,dist
Fri Dec 21 14:49:11 2018 -0800,Merge branch table dark colors into v4 dev
Fri Dec 21 14:47:52 2018 -0800,Merge branch text break util into v4 dev
Fri Dec 21 13:52:02 2018 -0800,Prevent checks from shrinking in inline forms 27870
Fri Dec 21 13:51:38 2018 -0800,Add table hover color variables 27850
Fri Dec 21 13:48:53 2018 -0800,Merge branch validation support list into v4 dev
Fri Dec 21 13:48:44 2018 -0800,Merge branch table hover colors into v4 dev
Fri Dec 21 13:48:19 2018 -0800,Merge branch grid vertical alignment ie warning into v4 dev
Fri Dec 21 10:55:28 2018 -0800,Bump to v4 2 1 27892
Fri Dec 21 09:03:29 2018 -0800,Prep for v4 2 0 release
Mon Dec 17 09:58:18 2018 -0800,Add docs for text break
Sun Dec 16 13:23:33 2018 -0800,Add new text break utility for applying word break break word
Sun Dec 16 01:33:05 2018 +0200,dist
Sat Dec 15 14:25:40 2018 -0800,List out what s supported in validation styles Fixes 27169
Sat Dec 15 14:01:09 2018 -0800,Add table hover color variables Fixes 26465
Sat Dec 15 13:51:20 2018 -0800,Fixes 26468 Mention min height issue in IE10 11 for flexbox vertical alignment
Sat Dec 15 20:18:55 2018 +0100,Update site docs 4 1 utilities stretched link md
Sat Dec 15 20:17:45 2018 +0100,Update site docs 4 1 utilities stretched link md
Sat Dec 15 20:15:03 2018 +0100,Update site docs 4 1 utilities stretched link md
Sat Dec 15 20:14:42 2018 +0100,Copy change
Sat Dec 15 20:14:05 2018 +0100,Copy change
Sat Dec 15 10:15:52 2018 -0800,Match table dark background color to the dark variable
Tue Nov 13 08:47:32 2018 +0200,Clean up some docs for toasts
